,,,,,,,,,,,,,,,,,,,,,,269,# PILIHAN 1,Pilihan 1,,# PILIHAN 2,Pilihan 2,
PROVINSI,KOTA/KABUPATEN,PROVINSI GABUNG,UNIVERSITAS,PROGRAM STUDI,JENJANG,[hidden] concat,"PEMINAT 2024
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS TADULAKO,AKUNTANSI SEKTOR PUBLIK,D4,D4 - AKUNTANSI SEKTOR PUBLIK UNIVERSITAS TADULAKO,17,24,141.18%,443,60,13.54%,No Data,0,-,"1,778",tidak valid,2004,tidak valid,"1,891",2457,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS HALUOLEO,"PEND. JASMANI, KESEHATAN DAN REKREASI",S1,"S1 - PEND. JASMANI, KESEHATAN DAN REKREASI UNIVERSITAS HALUOLEO",185,26,14.05%,251,34,13.55%,No Data,0,-,"1,779",tidak valid,2004,tidak valid,"1,892",2459,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Timur,POLITEKNIK NEGERI MALANG,TEKNIK LISTRIK,D3,D3 - TEKNIK LISTRIK POLITEKNIK NEGERI MALANG,141,29,20.57%,293,40,13.65%,No Data,0,-,"1,788",tidak valid,2004,tidak valid,"1,896",2467,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jambi & Bengkulu,UNIVERSITAS JAMBI,KESEHATAN HEWAN,D3,D3 - KESEHATAN HEWAN UNIVERSITAS JAMBI,23,27,117.39%,363,50,13.77%,No Data,0,-,"1,796",tidak valid,2004,tidak valid,"1,900",2474,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK NEGERI MEDIA KREATIF,PENGELOLAAN PERHOTELAN,D4,D4 - PENGELOLAAN PERHOTELAN POLITEKNIK NEGERI MEDIA KREATIF,289,38,13.15%,346,48,13.87%,No Data,0,-,"1,804",tidak valid,2004,tidak valid,"1,904",2486,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Kalimantan,POLITEKNIK NEGERI PONTIANAK,PERBANKAN DAN KEUANGAN DIGITAL,D4,D4 - PERBANKAN DAN KEUANGAN DIGITAL POLITEKNIK NEGERI PONTIANAK,0,18,No Data,223,31,13.90%,No Data,0,-,"1,805",tidak valid,2004,tidak valid,"1,905",2488,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Sumsel, Babel, Lampung",POLITEKNIK NEGERI LAMPUNG,MANAJEMEN INFORMATIKA,D3,D3 - MANAJEMEN INFORMATIKA POLITEKNIK NEGERI LAMPUNG,55,70,127.27%,501,70,13.97%,No Data,0,-,"1,812",tidak valid,2004,tidak valid,"1,908",2494,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Riau & Kepri,POLITEKNIK NEGERI BATAM,TEKNOLOGI REKAYASA METALURGI,D4,D4 - TEKNOLOGI REKAYASA METALURGI POLITEKNIK NEGERI BATAM,40,8,20.00%,100,14,14.00%,No Data,0,-,"1,813",tidak valid,2004,tidak valid,"1,909",2497,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sumatera Barat,POLITEKNIK NEGERI PADANG,BAHASA INGGRIS,D3,D3 - BAHASA INGGRIS POLITEKNIK NEGERI PADANG,11,27,245.45%,254,36,14.17%,No Data,0,-,"1,824",tidak valid,2004,tidak valid,"1,914",2502,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Riau & Kepri,POLITEKNIK NEGERI BATAM,REKAYASA KEAMANAN SIBER,D4,D4 - REKAYASA KEAMANAN SIBER POLITEKNIK NEGERI BATAM,168,15,8.93%,190,27,14.21%,No Data,0,-,"1,827",tidak valid,2004,tidak valid,"1,916",2508,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS NEGERI GORONTALO,TEKNIK SIPIL,S1,S1 - TEKNIK SIPIL UNIVERSITAS NEGERI GORONTALO,146,30,20.55%,198,50,25.25%,No Data,1,-,"2,505",tidak valid,1329,tidak valid,"1,917",2511,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Timur,POLITEKNIK NEGERI MALANG,KEUANGAN (PSDKU KEDIRI),D4,D4 - KEUANGAN (PSDKU KEDIRI) POLITEKNIK NEGERI MALANG,187,36,19.25%,251,36,14.34%,No Data,0,-,"1,837",tidak valid,2004,tidak valid,"1,921",2514,NO,,,,,,
Sulawesi Selatan,Kab. Gowa,Sulawesi,UNIVERSITAS TADULAKO,ILMU KOMUNIKASI,S1,S1 - ILMU KOMUNIKASI UNIVERSITAS TADULAKO,471,60,12.74%,555,80,14.41%,No Data,0,-,"1,841",tidak valid,2004,tidak valid,"1,923",2519,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,ISI YOGYAKARTA,TATA KELOLA SENI,S1,S1 - TATA KELOLA SENI ISI YOGYAKARTA,80,23,28.75%,117,30,25.64%,No Data,1,-,"2,523",tidak valid,1329,tidak valid,"1,926",2525,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sumatera Utara,POLITEKNIK NEGERI MEDAN,TEKNOLOGI REKAYASA INSTALASI LISTRIK,D4,D4 - TEKNOLOGI REKAYASA INSTALASI LISTRIK POLITEKNIK NEGERI MEDAN,83,20,24.10%,165,24,14.55%,No Data,0,-,"1,848",tidak valid,2004,tidak valid,"1,926",2525,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS TADULAKO,PEND. GURU SEKOLAH DASAR,S1,S1 - PEND. GURU SEKOLAH DASAR UNIVERSITAS TADULAKO,935,70,7.49%,960,140,14.58%,No Data,0,-,"1,851",tidak valid,2004,tidak valid,"1,928",2529,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Bali & Nusa Tenggara,POLITEKNIK NEGERI KUPANG,AKUNTANSI,D3,D3 - AKUNTANSI POLITEKNIK NEGERI KUPANG,51,24,47.06%,410,60,14.63%,No Data,0,-,"1,855",tidak valid,2004,tidak valid,"1,930",2531,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS NEGERI GORONTALO,TEKNIK GEOLOGI,S1,S1 - TEKNIK GEOLOGI UNIVERSITAS NEGERI GORONTALO,67,34,50.75%,116,30,25.86%,No Data,1,-,"2,543",tidak valid,1329,tidak valid,"1,936",2537,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS HALUOLEO,AKUTANSI,S1,S1 - AKUTANSI UNIVERSITAS HALUOLEO,596,68,11.41%,606,90,14.85%,No Data,0,-,"1,875",tidak valid,2004,tidak valid,"1,940",2541,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Kalimantan,POLITEKNIK NEGERI SAMARINDA,TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG,D4,D4 - TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG POLITEKNIK NEGERI SAMARINDA,77,15,19.48%,148,22,14.86%,No Data,0,-,"1,877",tidak valid,2004,tidak valid,"1,941",2542,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS HALUOLEO,ADMINISTRASI BISNIS,S1,S1 - ADMINISTRASI BISNIS UNIVERSITAS HALUOLEO,396,51,12.88%,451,68,15.08%,No Data,0,-,"1,893",tidak valid,2004,tidak valid,"1,949",2555,NO,,,,,,
Sumatera Selatan,Kab. Ogan Ilir,Sumatera Barat,POLITEKNIK NEGERI PADANG,SISTEM INFORMASI (KAMPUS KAB. TANAH DATAR),D3,D3 - SISTEM INFORMASI (KAMPUS KAB. TANAH DATAR) POLITEKNIK NEGERI PADANG,18,17,94.44%,152,23,15.13%,No Data,0,-,"1,896",tidak valid,2004,tidak valid,"1,950",2559,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Timur,POLITEKNIK NEGERI JEMBER,TEKNIK KOMPUTER,D3,D3 - TEKNIK KOMPUTER POLITEKNIK NEGERI JEMBER,83,83,100.00%,395,60,15.19%,No Data,0,-,"1,903",tidak valid,2004,tidak valid,"1,954",2561,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Sumsel, Babel, Lampung",POLITEKNIK NEGERI SRIWIJAYA,PERANCANGAN JALAN DAN JEMBATAN,D4,D4 - PERANCANGAN JALAN DAN JEMBATAN POLITEKNIK NEGERI SRIWIJAYA,153,68,44.44%,446,68,15.25%,No Data,0,-,"1,911",tidak valid,2004,tidak valid,"1,958",2570,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Bali & Nusa Tenggara,POLITEKNIK NEGERI KUPANG,MESIN OTOMOTIF,D3,D3 - MESIN OTOMOTIF POLITEKNIK NEGERI KUPANG,27,16,59.26%,76,39,51.32%,No Data,6,-,"3,346",tidak valid,582,tidak valid,"1,964",2580,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,KEPERAWATAN,D3,D3 - KEPERAWATAN UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,45,18,40.00%,201,31,15.42%,No Data,0,-,"1,931",tidak valid,2004,tidak valid,"1,968",2587,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Kalimantan,POLITEKNIK NEGERI PONTIANAK,AKUNTANSI,D3,D3 - AKUNTANSI POLITEKNIK NEGERI PONTIANAK,145,52,35.86%,610,95,15.57%,No Data,0,-,"1,942",tidak valid,2004,tidak valid,"1,973",2596,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sumatera Barat,POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH,AGRIBISNIS,D3,D3 - AGRIBISNIS POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH,45,21,46.67%,192,30,15.63%,No Data,0,-,"1,946",tidak valid,2004,tidak valid,"1,975",2600,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Timur,POLITEKNIK NEGERI MADIUN,AKUNTANSI,D3,D3 - AKUNTANSI POLITEKNIK NEGERI MADIUN,134,36,26.87%,305,48,15.74%,No Data,0,-,"1,952",tidak valid,2004,tidak valid,"1,978",2607,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Timur,POLITEKNIK PERKAPALAN NEGERI SURABAYA,TEKNIK PENGELASAN,D4,D4 - TEKNIK PENGELASAN POLITEKNIK PERKAPALAN NEGERI SURABAYA,195,36,18.46%,303,48,15.84%,No Data,0,-,"1,962",tidak valid,2004,tidak valid,"1,983",2615,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS NEGERI GORONTALO,ARSITEKTUR BANGUNAN GEDUNG,D4,D4 - ARSITEKTUR BANGUNAN GEDUNG UNIVERSITAS NEGERI GORONTALO,7,20,285.71%,201,32,15.92%,No Data,0,-,"1,967",tidak valid,2004,tidak valid,"1,986",2619,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Bali & Nusa Tenggara,UNIVERSITAS PENDIDIKAN GANESHA,AKUNTANSI SEKTOR PUBLIK,D4,D4 - AKUNTANSI SEKTOR PUBLIK UNIVERSITAS PENDIDIKAN GANESHA,16,20,125.00%,156,25,16.03%,No Data,0,-,"1,973",tidak valid,2004,tidak valid,"1,989",2624,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sumatera Utara,POLITEKNIK NEGERI MEDAN,ELEKTRONIKA,D3,D3 - ELEKTRONIKA POLITEKNIK NEGERI MEDAN,98,40,40.82%,278,45,16.19%,No Data,0,-,"1,982",tidak valid,2004,tidak valid,"1,993",2632,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK NEGERI INDRAMAYU,TEKNIK INFORMATIKA,D3,D3 - TEKNIK INFORMATIKA POLITEKNIK NEGERI INDRAMAYU,194,60,30.93%,294,48,16.33%,No Data,0,-,"1,987",tidak valid,2004,tidak valid,"1,996",2637,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Kalimantan,POLITEKNIK NEGERI PONTIANAK,TEKNIK SIPIL,D3,D3 - TEKNIK SIPIL POLITEKNIK NEGERI PONTIANAK,88,38,43.18%,414,68,16.43%,No Data,0,-,"1,992",tidak valid,2004,tidak valid,"1,998",2640,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Timur,POLITEKNIK NEGERI BANYUWANGI,MANAJEMEN KONSTRUKSI,D4,D4 - MANAJEMEN KONSTRUKSI POLITEKNIK NEGERI BANYUWANGI,0,15,No Data,0,12,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Timur,POLITEKNIK NEGERI BANYUWANGI,TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG,D4,D4 - TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG POLITEKNIK NEGERI BANYUWANGI,0,15,No Data,0,12,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Timur,POLITEKNIK NEGERI JEMBER,PSDKU TEKNOLOGI REKAYASA PERANGKAT LUNAK KAB. SABU RAIJUA,D4,D4 - PSDKU TEKNOLOGI REKAYASA PERANGKAT LUNAK KAB. SABU RAIJUA POLITEKNIK NEGERI JEMBER,0,33,No Data,0,24,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Timur,POLITEKNIK NEGERI MADIUN,TEKNOLOGI REKAYASA OTOMASI,D4,D4 - TEKNOLOGI REKAYASA OTOMASI POLITEKNIK NEGERI MADIUN,0,18,No Data,0,24,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Aceh,ISBI ACEH,SENI TEATER,S1,S1 - SENI TEATER ISBI ACEH,1,14,1400.00%,0,16,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Aceh,UNIVERSITAS SAMUDRA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,S1 - PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN UNIVERSITAS SAMUDRA,0,15,No Data,0,12,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Aceh,UNIVERSITAS SAMUDRA,PENDIDIKAN VOKASIONAL SENI KULINER,S1,S1 - PENDIDIKAN VOKASIONAL SENI KULINER UNIVERSITAS SAMUDRA,0,15,No Data,0,12,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Aceh,UNIVERSITAS TEUKU UMAR,BAHASA DAN KEBUDAYAAN INGGRIS,S1,S1 - BAHASA DAN KEBUDAYAAN INGGRIS UNIVERSITAS TEUKU UMAR,0,24,No Data,0,30,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,ISI YOGYAKARTA,TEATER MUSIKAL,D4,D4 - TEATER MUSIKAL ISI YOGYAKARTA,0,8,No Data,0,10,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,UNIVERSITAS NEGERI GORONTALO,TEKNOLOGI PENANGKAPAN IKAN,S1,S1 - TEKNOLOGI PENANGKAPAN IKAN UNIVERSITAS NEGERI GORONTALO,0,15,No Data,0,16,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jambi & Bengkulu,UNIVERSITAS JAMBI,SENI KARAWITAN,S1,S1 - SENI KARAWITAN UNIVERSITAS JAMBI,1,5,500.00%,0,9,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,ISI SURAKARTA,ARSITEKTUR,S1,S1 - ARSITEKTUR ISI SURAKARTA,0,8,No Data,0,10,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,ISI SURAKARTA,TATA KELOLA SENI,D4,D4 - TATA KELOLA SENI ISI SURAKARTA,0,8,No Data,0,10,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Jawa Tengah & DIY,POLITEKNIK MARITIM NEGERI INDONESIA,TEKNOLOGI REKAYASA PERMESINAN KAPAL,D4,D4 - TEKNOLOGI REKAYASA PERMESINAN KAPAL POLITEKNIK MARITIM NEGERI INDONESIA,0,40,No Data,0,29,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,POLITEKNIK MARITIM NEGERI INDONESIA,TEKNOLOGI REKAYASA MEKATRONIKA,D4,D4 - TEKNOLOGI REKAYASA MEKATRONIKA POLITEKNIK MARITIM NEGERI INDONESIA,0,50,No Data,0,36,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,POLITEKNIK MARITIM NEGERI INDONESIA,BISNIS DAN LOGISTIK MARITIM,D4,D4 - BISNIS DAN LOGISTIK MARITIM POLITEKNIK MARITIM NEGERI INDONESIA,0,66,No Data,0,48,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,POLITEKNIK MARITIM NEGERI INDONESIA,TEKNIKA,D3,D3 - TEKNIKA POLITEKNIK MARITIM NEGERI INDONESIA,0,40,No Data,0,29,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,POLITEKNIK NEGERI CILACAP,TEKNOLOGI REKAYASA KIMIA INDUSTRI,D4,D4 - TEKNOLOGI REKAYASA KIMIA INDUSTRI POLITEKNIK NEGERI CILACAP,0,12,No Data,0,13,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,POLITEKNIK NEGERI CILACAP,TEKNOLOGI REKAYASA PERANGKAT LUNAK,D4,D4 - TEKNOLOGI REKAYASA PERANGKAT LUNAK POLITEKNIK NEGERI CILACAP,0,23,No Data,0,26,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Jawa Tengah & DIY,UNIVERSITAS TIDAR,FARMASI,D3,D3 - FARMASI UNIVERSITAS TIDAR,0,30,No Data,0,50,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Bantul,Sulawesi,INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ARSITEKTUR,S1,S1 - ARSITEKTUR INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,0,24,No Data,0,24,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
Kalimantan Tengah,Kota Palangka Raya,Maluku & Papua,ISBI TANAH PAPUA,DESAIN KOMUNIKASI VISUAL,S1,S1 - DESAIN KOMUNIKASI VISUAL ISBI TANAH PAPUA,1,8,800.00%,0,14,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Maluku & Papua,ISBI TANAH PAPUA,SENI RUPA MURNI,S1,S1 - SENI RUPA MURNI ISBI TANAH PAPUA,0,8,No Data,0,14,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Maluku & Papua,ISBI TANAH PAPUA,SENI KRIYA,S1,S1 - SENI KRIYA ISBI TANAH PAPUA,0,8,No Data,0,14,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Maluku & Papua,ISBI TANAH PAPUA,SENI MUSIK,S1,S1 - SENI MUSIK ISBI TANAH PAPUA,0,8,No Data,0,14,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Maluku & Papua,ISBI TANAH PAPUA,SENI TARI,S1,S1 - SENI TARI ISBI TANAH PAPUA,0,8,No Data,0,14,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
Bali,Kab. Badung,Bali & Nusa Tenggara,POLITEKNIK NEGERI BALI,AKUNTANSI BISNIS DIGITAL,D4,D4 - AKUNTANSI BISNIS DIGITAL POLITEKNIK NEGERI BALI,0,15,No Data,0,27,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Kalimantan,POLITEKNIK NEGERI BALIKPAPAN,TEKNOLOGI REKAYASA MANUFAKTUR,D4,D4 - TEKNOLOGI REKAYASA MANUFAKTUR POLITEKNIK NEGERI BALIKPAPAN,0,26,No Data,0,37,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Maluku & Papua,POLITEKNIK NEGERI FAKFAK,AKUNTANSI SEKTOR PUBLIK,D4,D4 - AKUNTANSI SEKTOR PUBLIK POLITEKNIK NEGERI FAKFAK,0,10,No Data,0,10,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Maluku & Papua,POLITEKNIK NEGERI FAKFAK,PENGELOLAAN AGRIBISNIS PERKEBUNAN,D4,D4 - PENGELOLAAN AGRIBISNIS PERKEBUNAN POLITEKNIK NEGERI FAKFAK,0,10,No Data,0,10,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Kalimantan,POLITEKNIK NEGERI KETAPANG,MANAJEMEN AGRIBISNIS,D4,D4 - MANAJEMEN AGRIBISNIS POLITEKNIK NEGERI KETAPANG,0,24,No Data,0,40,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,POLITEKNIK NEGERI NUSA UTARA,TEKNOLOGI BUDIDAYA IKAN,D3,D3 - TEKNOLOGI BUDIDAYA IKAN POLITEKNIK NEGERI NUSA UTARA,0,8,No Data,0,10,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Kalimantan,POLITEKNIK NEGERI SAMBAS,PENGELOLAAN PERKEBUNAN,D4,D4 - PENGELOLAAN PERKEBUNAN POLITEKNIK NEGERI SAMBAS,0,24,No Data,0,30,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Sumsel, Babel, Lampung",POLITEKNIK NEGERI SRIWIJAYA,ARSITEKTUR BANGUNAN GEDUNG,D4,D4 - ARSITEKTUR BANGUNAN GEDUNG POLITEKNIK NEGERI SRIWIJAYA,0,20,No Data,0,20,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Sumsel, Babel, Lampung",POLITEKNIK NEGERI SRIWIJAYA,MANAJEMEN AGRIBISNIS,D4,D4 - MANAJEMEN AGRIBISNIS POLITEKNIK NEGERI SRIWIJAYA,0,20,No Data,0,20,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Sumsel, Babel, Lampung",POLITEKNIK NEGERI SRIWIJAYA,AGRIBISNIS PANGAN,D4,D4 - AGRIBISNIS PANGAN POLITEKNIK NEGERI SRIWIJAYA,0,20,No Data,0,20,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Sumsel, Babel, Lampung",POLITEKNIK NEGERI SRIWIJAYA,BAHASA INGGRIS UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL,D4,D4 - BAHASA INGGRIS UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL POLITEKNIK NEGERI SRIWIJAYA,0,20,No Data,0,20,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Sumsel, Babel, Lampung",POLITEKNIK NEGERI SRIWIJAYA,TEKNOLOGI REKAYASA INSTALASI LISTRIK,D4,D4 - TEKNOLOGI REKAYASA INSTALASI LISTRIK POLITEKNIK NEGERI SRIWIJAYA,0,29,No Data,0,29,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,"Sumsel, Babel, Lampung",POLITEKNIK NEGERI SRIWIJAYA,PEMELIHARAAN ALAT BERAT,D3,D3 - PEMELIHARAAN ALAT BERAT POLITEKNIK NEGERI SRIWIJAYA,0,10,No Data,0,10,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Sulawesi,POLITEKNIK NEGERI UJUNG PANDANG,BISNIS DIGITAL,D4,D4 - BISNIS DIGITAL POLITEKNIK NEGERI UJUNG PANDANG,0,8,No Data,0,10,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
Sulawesi Utara,Kota Manado,Sulawesi,POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN,AKUNTANSI BISNIS DIGITAL,D4,D4 - AKUNTANSI BISNIS DIGITAL POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN,0,18,No Data,0,14,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Kalimantan,POLITEKNIK PERTANIAN NEGERI SAMARINDA,TEKNOLOGI REKAYASA PENGENDALIAN PENCEMARAN LINGKUNGAN,D4,D4 - TEKNOLOGI REKAYASA PENGENDALIAN PENCEMARAN LINGKUNGAN POLITEKNIK PERTANIAN NEGERI SAMARINDA,0,9,No Data,0,12,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
D.I. Yogyakarta,Kab. Sleman,Kalimantan,POLITEKNIK PERTANIAN NEGERI SAMARINDA,TEKNOLOGI REKAYASA PANGAN,D4,D4 - TEKNOLOGI REKAYASA PANGAN POLITEKNIK PERTANIAN NEGERI SAMARINDA,0,9,No Data,0,12,No Data,No Data,0,-,tidak valid,tidak valid,2004,tidak valid,"2,004",2651,NO,,,,,,
